@relation 'tramitacoes2018_2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8'

@attribute CDASSUNTO {1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,32,38,39,41,44,49,70,71,73,74,75,77,78,79,80,83,89,91,92,93,94,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115}
@attribute CDSETORRESP {1,2,7,8,10,20,27,32,33,35,39,47,50,51,52,53,60,62,83,90,92,93,141,151,213,229,259,277,284,285,305,348,364,450,756,1006,1078,1103,1286,1308,1397,1417,1537,1538,1539,1540,1541,1575,1786,1788,1791,1793,1844,1875,1876,1881,1978,1996,2002,2004,2006,2008,2010,2012,2014,5743,5885,5930,5982,5994,6027,6028,6029,6080,6083,6097,6211,6214,6215,6216,6221,6224,6227,6230}
@attribute CDSETORABERTURA {3,7,10,27,32,33,50,51,53,60,73,83,84,87,90,92,93,234,613,718,769,775,778,782,990,992,993,997,1006,1026,1061,1065,1072,1095,1205,1235,1249,1561,1786,1788,1791,1793,1835,1844,1875,1996,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2128,5893,5895,5898,5899,5902,6064,6074,6080,6128,6205,6211,6214,6215,6216,6217,6218,6220,6221,6222,6230}
@attribute CDUSUARIO {AACASTRO,VASILVA,MCARVALHO,ACFREITAS,GERSON,VVCOSTA,ISRICARTE,REBSOUZA,FGCRUZ,PVCOSTA,MMANDRADE,SRPATRICIO,MWENTZ,CDSILVA,DDURIEUX,LJACQUES,CFSILVA,MTRICHARTZ,DORIS,JSOUZA,PPASSOLD,EKZAPPELINI,BVIEIRA,AHSANTOS,LCAVALLERI,ACRESPALDI,WBALSAMO,BBRIBEIRO,FPGCOSTA,EDORIGATTI,MTCESCONETO,ESARMENTO,NELIZA,PREMOR,HVMAZZOLA,BBROGNOLI,VOLIVEIRA,VAMARAL,LCSMACHADO,SDCARDOSO,JTRES,RMARTENDAL,CRODRIGUES,SMITHOMAZ,MMDASILVA,NRFERNANDES,DROGLIO,EMMFILHO,RCAVANHOLI,MIPZIMMERMANN,RRZDASILVA,TMBATISTA,SDMARCOS,MGUEDES,LFUHR,APPEREIRA,YCOSTA,ILIMA,PMFINARDI,VAGUIAR,MMARTINS,TBMEDEIROS,MAZEVEDO,LCLAGO,SAKOERICH,BCCORTES,MROSA,LDECKER,RKRAUS,DASILVA,KCIPRIANI,GJMOZZER,TLSANTOS,SFPEREIRA,BLEIRIA,KSANHAIA,VASMAFIOLETTI,RFERNANDES,SFLUZ,FEMSANTOS,YFERREIRA,LRGREGORIO,ACERVI,OBOING,ALIGARAUJO,LMDSANTOS,MVALERIO,GNDASILVA,MSCOSTA,LAVILLA,AMKOCH,FCOLLET,TRAMIRES,CLCCOSTA,IMCKOCHE,SLKRAESKI,ABSSOUZA,BFGONZAGA,MHULLER,LHSAAR,VPARGENDLER,EZANFERRARI,AVPEREIRA,TRECH,LEMPEREIRA,NMGODINHO,FLISBOA,SGA,TCRAIMUNDO,RGPINHEIRO,FREGIS,SRIGOTTI,LMSANTOS,JMMZEFERINO,ISA,HMARTINELLI,JMBARRETO,TCAPISTRANO,AGARAUJO,FBRITO,SSAMORIM,SKOCH,JBOMBASAR,LBUSS,JCCONRADO,RSCHIEFLER,FGREGUI,DCHEINECK,CSILVANO,LFROSA,MSARTOR,RELUZ,ENBRAS,WDACPARRELLA,RDAROS,TGBETIO,VRCASTRO,SELIAS,AMOLIVEIRA,JFONTOURA,MBATTIATO,MMONGUILHOTT,GMERIZE,ISILVEIRA,AVOLIVEIRA,FLCHAVES,FCOMIN,ISNUNES,MFTONINI,MGHENRIQUE,RCARLESSO,JJESKE,BSCUNHA,TBOSCHINI,SAMSILVA,MLIMA,SSIPRIANO,DBRISTOT,BNOSOL,SNORONHA,MCONCEICAO,RSDEMELO,RRAMOS,RGRUMICHE,RZEFERINO,LHNUNES,GDDASILVA,GCORREGGIO,JAPARECIDA,IAFACINI,PWBRAMONT,GFRANZONI,RPTDAVILA,FWESTPHAL,EAFORTES,RAOLIVEIRA,JOFERNANDES,FCORAL,LFIGUEIRO,FKSOUZA,CSMATOS,RSEIFFERT,VACSOUZA,FISILVA,SZALVES,JROMAN,LHTHIESEN,MWALETE,PRSOUZA,AGSILVEIRA,MAYRAS,KPRIM,CSILVEIRA,IZAFFONATO,AAALMEIDA,MCOLSEN,PSSILVEIRA,JMENDES,BCOLPANI,GMAY,AWILBERT,JROSARIO,RMARIA,PALLEBRANDT,MCVIEIRA,HCOUTINHO,SSCOUTINHO,LLSILVA,KASSUNCAO,MLSERPA,FADESDACUNHA,APISANI,TRROCHA,DSEEMANN,MGSILVA,GLDAROS,RRMORAES,EBIAZIN,MRROSA,TDASILVEIRA,SPIRES,JCOMIM,JANAINA,MGATELLI,LPASCOAL,FRRODRIGUES,AASILVA,AJUMES,CSOLIVEIRA,DBERGMANN,RNSTIPP,ALONGO,MDACOREGGIO,JPERING,CHRISTIAN,RDEVANGELISTA,NLORENZ,DCUNHA,JSBVILAIN,MMVALE,TGBARROS,RHSOUZA,CAMILADEOLIVEIRA,MGROSSL,LMARTINS,MMBERNARDINO,CRSANTOS,EVIECELI,CESTEIL,JACOSTA,GSILVEIRA,GMROSA,LVIEIRA,LKEMPNER,MWINTER,CVICENTE,IANNES,ADRIANO,OZANCHI,ROPIRES,AGRAZIOTIN,EGOULART,OCIOFFI,CBOSCHETTO,SOBIERAJSKI,CSIQUEIRA,JMORIGUTI,JBOTEGA,RHOFFMANN,AFERRAZ,EMENDES,TDDESOUZA,LMIGUEL,JKSILVA,LRDUARTE}
@attribute CDSETORORIGEM {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,73,83,84,87,90,92,93,225,234,238,310,429,459,498,589,613,633,718,748,769,775,776,778,782,789,790,862,990,992,993,994,997,1006,1017,1026,1061,1065,1072,1095,1205,1235,1249,1308,1519,1537,1539,1561,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1978,1987,1996,2000,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2127,2128,4732,5221,5893,5895,5898,5899,5901,5902,5932,5944,5957,5984,6020,6027,6029,6064,6065,6074,6080,6128,6205,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}
@attribute CDSETORDESTINO {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,83,84,87,90,92,93,225,230,238,310,429,431,436,459,498,524,589,613,633,748,775,776,778,782,789,790,862,994,997,1006,1017,1308,1519,1537,1539,1562,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1881,1978,1987,1996,2000,2002,2004,2006,2008,2010,2012,2014,2018,2127,2128,2290,4732,5221,5287,5307,5893,5895,5899,5901,5902,5932,5944,5953,5957,5984,5986,6020,6027,6029,6062,6065,6080,6089,6103,6121,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}

@data
17,2006,2006,JTRES,2006,2004
17,2006,2006,TBMEDEIROS,2004,2006
110,51,51,MCARVALHO,92,93
7,2006,2006,JTRES,50,2006
7,2006,2006,JTRES,2006,2004
110,51,51,YCOSTA,5895,5901
110,51,51,YCOSTA,51,5901
110,51,51,MCARVALHO,92,5895
110,51,51,ESARMENTO,92,51
110,51,51,GERSON,51,7
7,10,10,VAMARAL,2018,10
110,51,2002,DORIS,51,2002
110,51,51,HVMAZZOLA,51,5895
110,51,51,FPGCOSTA,51,7
7,10,10,LFUHR,10,5893
10,2004,2004,LJACQUES,50,2004
80,6080,7,MAZEVEDO,5932,1
80,1537,7,MMANDRADE,7,1788
79,1537,7,LCLAGO,2002,1537
79,1537,7,NELIZA,1537,6027
110,51,51,MCARVALHO,92,5901
101,7,7,MMANDRADE,7,10
101,7,7,LFUHR,10,2018
101,7,7,MGUEDES,10,2018
16,50,7,MMANDRADE,7,6029
16,50,7,APPEREIRA,6029,50
10,50,7,SDMARCOS,633,50
10,50,7,DDURIEUX,2010,2004
4,7,7,LJACQUES,50,7
17,2006,2006,SAKOERICH,2004,2006
17,2006,2006,VASILVA,2004,2006
89,50,7,MCARVALHO,53,2012
110,51,51,NELIZA,7,5895
23,2004,2004,BCCORTES,2012,2004
6,53,50,APPEREIRA,6029,7
44,1996,1996,PREMOR,6080,1996
6,2010,2010,ISRICARTE,2012,2010
101,1,7,PREMOR,6080,10
13,50,7,APPEREIRA,6029,2010
7,10,10,MROSA,53,50
7,10,10,LJACQUES,50,7
7,10,10,PPASSOLD,50,2012
7,10,10,ILIMA,53,1
39,1539,7,SRPATRICIO,1539,7
39,1539,7,SRPATRICIO,7,1539
80,7,7,NELIZA,7,7
28,93,93,LDECKER,93,633
44,10,10,NELIZA,1537,10
44,10,10,VAMARAL,10,7
80,50,7,MMARTINS,50,2006
80,50,7,LJACQUES,50,7
7,10,10,RKRAUS,2012,10
7,10,10,MMANDRADE,7,1
7,10,10,MMANDRADE,1,7
23,6227,2004,AHSANTOS,1537,2004
23,6227,2004,AHSANTOS,1537,2004
23,6227,2004,VASILVA,2004,10
23,6227,2004,LJACQUES,50,1537
80,1,7,JSOUZA,7,2290
78,1,7,VAMARAL,10,6080
10,50,7,MMARTINS,50,2004
80,1,7,DASILVA,1,6080
101,1,7,DASILVA,1,6080
23,2004,2004,RKRAUS,2012,2004
110,51,51,MMANDRADE,7,5895
110,51,51,MCARVALHO,92,5901
110,51,51,AHSANTOS,7,51
44,10,10,KCIPRIANI,2018,10
20,50,7,MMARTINS,50,2004
80,1,7,JSOUZA,7,10
110,51,51,GJMOZZER,5901,93
110,51,51,TLSANTOS,5901,92
110,51,51,MCARVALHO,92,5901
110,51,51,SFPEREIRA,51,5901
70,7,7,MMANDRADE,6220,7
109,50,7,RKRAUS,2012,50
109,50,7,EKZAPPELINI,50,53
4,6230,50,WBALSAMO,6230,2004
4,6230,50,LJACQUES,50,2004
4,6230,50,AACASTRO,2004,50
15,7,7,VASILVA,50,2004
39,1539,7,NELIZA,7,1539
39,1539,7,KCIPRIANI,6029,7
7,2010,2010,VAMARAL,2018,10
110,51,2002,CRODRIGUES,2002,1537
80,1537,7,APPEREIRA,6029,7
80,1,7,NELIZA,6027,2002
110,51,51,BLEIRIA,2002,51
110,51,51,ACFREITAS,51,2002
110,51,51,NELIZA,1537,51
110,51,51,FPGCOSTA,51,1537
80,6083,6080,NELIZA,2,7
80,6029,7,MMANDRADE,33,7
80,6029,7,APPEREIRA,6029,33
44,1996,1996,KSANHAIA,1996,633
110,51,51,BBRIBEIRO,2002,5901
110,51,51,NELIZA,6027,51
80,6080,6080,JSOUZA,2,7
80,6080,6080,MAZEVEDO,6080,2
7,10,7,VASMAFIOLETTI,10,2018
7,2006,2006,SAKOERICH,2004,2006
7,2006,2006,SAKOERICH,2004,2006
7,2006,2006,RFERNANDES,2006,2012
44,10,10,KCIPRIANI,6029,10
10,7,7,LJACQUES,50,633
10,7,7,NELIZA,7,50
110,51,51,DORIS,51,5901
6,2010,2010,ISRICARTE,2012,2010
23,2004,2004,LJACQUES,50,2004
110,51,51,SRPATRICIO,7,1006
7,1,7,VASILVA,2004,50
20,2006,2006,MMANDRADE,7,50
20,2006,2006,VASILVA,2004,7
79,1537,7,JSOUZA,6027,6214
44,1996,1996,NELIZA,1,1996
19,1,7,LJACQUES,50,2004
115,50,7,RRZDASILVA,2006,2004
115,50,7,SFLUZ,2004,2006
115,50,7,LJACQUES,50,2010
115,50,7,JSOUZA,7,50
115,50,7,LJACQUES,50,2006
115,50,7,JSOUZA,7,7
115,50,7,JTRES,2006,50
115,50,7,JTRES,2006,50
115,50,7,LJACQUES,50,7
115,50,7,LJACQUES,50,7
80,1537,7,LJACQUES,50,53
80,1537,7,SFLUZ,1537,7
10,2004,2004,WBALSAMO,50,2004
10,2004,2004,DDURIEUX,2010,2004
10,2004,2004,VASILVA,2004,50
6,2010,2010,MMANDRADE,1537,2010
15,7,7,VASILVA,2004,50
15,7,7,FEMSANTOS,2004,2010
15,7,7,MTCESCONETO,633,50
110,51,51,MCARVALHO,92,5901
110,51,51,DORIS,51,5895
44,10,10,MGUEDES,10,1537
110,51,51,DORIS,51,5895
89,50,7,LJACQUES,50,53
110,51,51,BLEIRIA,2002,51
110,51,51,NELIZA,1537,6027
44,10,10,SRPATRICIO,7,7
44,10,10,MMANDRADE,50,7
110,51,51,GERSON,51,93
44,1996,1996,PREMOR,6080,1996
16,50,7,YFERREIRA,50,2004
71,2012,2012,AHSANTOS,1537,50
97,1788,51,NELIZA,1537,6027
97,1788,51,LRGREGORIO,51,2002
97,1788,51,BBRIBEIRO,2002,51
97,1788,51,MCARVALHO,92,2002
97,1788,51,AHSANTOS,1537,2002
110,51,51,BLEIRIA,2002,92
110,51,51,MCARVALHO,92,2002
110,51,51,ACERVI,2002,1537
110,51,51,SRPATRICIO,1537,6027
110,51,51,MMANDRADE,1537,6027
110,51,51,AHSANTOS,1537,51
110,51,51,NELIZA,7,51
91,2008,2002,BVIEIRA,6080,2002
91,2008,2002,BBRIBEIRO,2002,6080
6,1537,7,AHSANTOS,1537,2012
2,6230,50,LJACQUES,50,7
17,2006,2006,LJACQUES,50,2006
4,6230,50,SRPATRICIO,7,7
2,50,50,MMANDRADE,7,6029
16,50,7,JSOUZA,7,6029
6,2010,7,NELIZA,1537,2010
80,1,7,APPEREIRA,6029,7
110,51,51,DORIS,51,2002
101,10,10,VASMAFIOLETTI,10,5893
101,10,10,VASMAFIOLETTI,10,5893
16,2004,2004,LJACQUES,50,2004
94,50,7,AACASTRO,2004,7
80,50,7,MMANDRADE,2,7
79,1537,7,JSOUZA,6027,7
29,1791,1791,OBOING,1791,633
29,1791,1791,OBOING,1791,7
3,1,7,ALIGARAUJO,6029,2
110,51,51,HVMAZZOLA,51,5901
7,6029,7,NELIZA,6027,10
7,6029,7,LFUHR,10,6027
44,10,10,PREMOR,6080,10
6,50,7,SDMARCOS,633,50
6,50,7,ISRICARTE,2012,50
110,51,51,GERSON,51,7
110,51,51,LRGREGORIO,51,2002
110,51,51,GERSON,51,2002
89,50,7,LCAVALLERI,2012,92
7,50,7,ALIGARAUJO,6029,50
91,6227,2002,BVIEIRA,6080,1
23,2004,2004,SAKOERICH,2004,2012
39,6080,7,SFLUZ,7,6080
110,51,51,SRPATRICIO,1537,6027
110,51,51,MMANDRADE,7,5895
110,51,2002,REBSOUZA,633,2002
110,51,2002,GERSON,51,2002
110,51,2002,GERSON,51,2002
7,10,7,SRPATRICIO,7,7
110,51,2002,FPGCOSTA,51,1537
80,6080,7,VOLIVEIRA,2018,10
89,50,7,LMDSANTOS,7,50
7,1,7,LJACQUES,50,2004
7,1,7,SRPATRICIO,7,6029
80,1,7,NELIZA,7,60
89,50,7,MVALERIO,6230,50
101,7,7,GNDASILVA,5893,10
80,1,7,ILIMA,53,7
110,51,51,FPGCOSTA,51,2002
110,51,51,SRPATRICIO,7,51
110,51,51,MMANDRADE,1,7
110,51,51,MMANDRADE,1537,6027
110,51,51,MMANDRADE,7,5895
110,51,51,MSCOSTA,5895,7
110,51,51,ACERVI,2002,51
110,51,51,NELIZA,6027,51
80,1,7,LAVILLA,7,6027
44,1996,1996,MWENTZ,1996,589
44,1996,1996,MWENTZ,1996,589
44,10,10,VAMARAL,10,7
44,10,10,LFUHR,10,2018
110,51,2002,MMANDRADE,1537,6027
110,51,2002,AHSANTOS,1537,2002
101,10,10,LFUHR,10,5893
3,50,7,MMANDRADE,7,6029
4,2012,6230,MVALERIO,6230,50
7,7,7,VAMARAL,2018,10
4,6230,6230,MVALERIO,6230,50
4,6230,6230,WBALSAMO,6230,50
23,6227,2004,AHSANTOS,1537,50
6,2012,6230,NELIZA,7,53
17,2006,2006,TBMEDEIROS,2004,2006
17,2006,2006,LJACQUES,50,2006
17,2006,2006,VASILVA,2004,2006
89,50,7,LJACQUES,50,53
44,10,10,LFUHR,10,1537
101,10,7,LFUHR,10,2018
110,51,51,JSOUZA,7,51
110,51,51,HVMAZZOLA,51,7
44,7,6217,MMANDRADE,7,7
97,1788,51,AMKOCH,5901,92
97,1788,51,LRGREGORIO,51,5901
10,50,7,WBALSAMO,50,2004
7,10,10,LJACQUES,50,10
80,7,7,LJACQUES,50,6230
89,53,50,SRPATRICIO,7,7
89,53,50,MVALERIO,50,2012
89,53,50,ISRICARTE,633,2012
94,7,7,MMANDRADE,83,7
6,50,7,MMANDRADE,7,7
110,51,51,FCOLLET,790,5984
110,51,51,NELIZA,1537,6027
110,51,51,TRAMIRES,2002,51
110,51,51,NELIZA,7,5895
110,51,51,TRAMIRES,2002,1537
110,51,51,FCOLLET,790,5984
110,51,51,NELIZA,6027,51
110,51,51,NELIZA,7,5895
110,51,51,GERSON,51,53
110,51,51,MSCOSTA,1987,51
110,51,51,GERSON,51,1537
110,51,51,MSCOSTA,5895,7
110,51,51,SFPEREIRA,51,5895
16,50,7,LJACQUES,50,2004
89,1,7,SRPATRICIO,7,2012
89,1,7,SRPATRICIO,6029,7
10,50,7,SAKOERICH,2004,50
6,2010,2010,CLCCOSTA,2012,2010
97,1788,51,MCARVALHO,92,5901
110,51,51,IMCKOCHE,5901,51
110,51,51,DROGLIO,5901,92
110,51,51,ACFREITAS,5901,2002
110,51,51,HVMAZZOLA,51,2002
110,51,51,NELIZA,7,51
110,51,51,AHSANTOS,7,51
23,2004,2004,CLCCOSTA,2012,2004
17,50,7,MMANDRADE,7,7
17,50,7,LJACQUES,50,2004
16,50,7,LAVILLA,7,6029
89,50,7,SLKRAESKI,53,2012
89,50,7,APPEREIRA,6029,7
10,2004,2004,SAKOERICH,2004,7
89,50,7,LJACQUES,50,53
23,2004,2004,FGCRUZ,2004,2012
20,7,7,BVIEIRA,6080,7
6,2010,2010,MMDASILVA,2010,1537
3,50,7,APPEREIRA,6029,50
3,50,7,LJACQUES,50,2004
94,50,7,LJACQUES,50,2004
80,1539,7,MMANDRADE,7,6080
10,2004,2004,MTCESCONETO,633,2004
29,1791,7,SRPATRICIO,7,1791
29,1791,7,MTCESCONETO,633,1791
89,2012,50,ISRICARTE,2012,50
10,7,7,JTRES,2006,7
1,50,7,MMANDRADE,7,50
2,50,50,MMARTINS,50,6029
89,50,7,LJACQUES,50,6230
89,50,7,MMANDRADE,7,50
110,51,51,MSCOSTA,5895,1006
89,50,7,MMANDRADE,7,50
110,51,1996,MSCOSTA,5895,51
110,51,1996,NELIZA,7,51
44,6080,7,LAVILLA,7,6080
16,50,7,SRPATRICIO,7,6029
17,2006,2006,MMANDRADE,7,50
17,2006,2006,RRZDASILVA,2006,2004
17,2006,2006,LJACQUES,50,2006
29,1791,1791,NELIZA,6027,7
29,1791,1791,NELIZA,7,6027
29,1791,1791,JSOUZA,7,7
29,1791,1791,MTCESCONETO,633,1791
96,1791,1791,VAGUIAR,1791,633
96,1791,1791,MMANDRADE,7,7
39,1539,7,SRPATRICIO,7,1539
110,51,51,ACERVI,2002,1537
6,2010,7,MMDASILVA,2010,1537
110,51,1996,MWENTZ,1996,6080
79,1537,7,MMANDRADE,7,6027
10,50,7,REBSOUZA,633,50
10,50,7,WBALSAMO,50,2004
17,2006,2006,JTRES,2006,50
17,2006,2006,TMBATISTA,7,50
91,1978,2002,MMANDRADE,7,6027
91,1978,2002,FPGCOSTA,51,1
102,7,51,JSOUZA,7,7
10,50,7,MVALERIO,50,2004
10,50,7,SDCARDOSO,2010,2004
39,1539,7,NELIZA,7,1539
7,10,10,VASMAFIOLETTI,10,50
89,50,7,LJACQUES,50,633
17,2006,2006,LJACQUES,50,2004
17,2006,2006,VASILVA,2004,2006
7,50,7,MMANDRADE,7,50
29,7,7,MMANDRADE,7,1791
10,50,7,ABSSOUZA,50,2004
10,50,7,REBSOUZA,633,50
80,1537,7,SRPATRICIO,1537,7
80,1537,7,SRPATRICIO,1537,7
10,50,7,LJACQUES,50,2004
10,2004,2004,VASILVA,2004,50
7,7,50,LFUHR,10,2018
89,6029,7,SLKRAESKI,53,6029
89,1537,7,LJACQUES,50,633
80,1,7,AHSANTOS,6029,1537
4,6230,6230,SDMARCOS,633,50
20,50,7,LJACQUES,50,2004
89,50,7,SRPATRICIO,7,50
89,50,7,ILIMA,53,6029
80,1,7,JSOUZA,7,1537
10,7,7,VASILVA,2004,2012
89,50,7,SRPATRICIO,7,50
7,10,10,MGUEDES,10,2018
89,50,7,SRPATRICIO,7,50
7,10,10,BFGONZAGA,2018,10
5,2010,2010,MVALERIO,6230,50
7,2006,2006,CLCCOSTA,2012,2006
39,1539,7,NELIZA,7,1539
79,1537,7,BBRIBEIRO,2002,51
79,1537,7,NELIZA,6027,51
79,1537,7,HVMAZZOLA,51,1537
79,1537,7,NELIZA,6027,51
79,1537,7,NELIZA,1537,6027
79,1537,7,ACERVI,2002,5902
79,1537,7,ACERVI,5902,2002
94,7,7,VASILVA,2004,50
89,50,7,LJACQUES,50,53
110,51,51,HVMAZZOLA,51,5901
110,51,51,MHULLER,5901,51
110,51,51,VVCOSTA,51,5895
110,51,51,SFPEREIRA,51,5901
110,51,51,SRPATRICIO,7,51
110,51,51,LHSAAR,633,51
110,51,51,GERSON,51,5895
110,51,2002,MCARVALHO,92,2002
110,51,2002,FPGCOSTA,51,1537
20,2006,2006,JSOUZA,7,50
10,2004,2004,VASILVA,2004,50
39,1539,7,MMANDRADE,7,1539
89,50,7,MCARVALHO,93,92
19,50,7,ALIGARAUJO,6029,50
19,50,7,MMANDRADE,7,6029
89,2012,6230,RKRAUS,2012,50
89,2012,6230,SDMARCOS,633,50
89,50,7,MMARTINS,50,2012
110,51,51,SFPEREIRA,51,1537
78,7,7,LJACQUES,50,7
108,50,50,NELIZA,7,50
108,50,50,LJACQUES,50,7
29,7,7,MMANDRADE,7,1791
7,10,10,CLCCOSTA,2012,50
20,50,7,VASILVA,2004,50
10,7,7,VPARGENDLER,50,2004
89,6029,7,ILIMA,53,1537
110,51,51,EZANFERRARI,225,6020
89,2012,7,LJACQUES,50,6230
89,2012,7,MCARVALHO,92,2012
89,2012,7,MMANDRADE,7,6029
29,1791,7,VAGUIAR,1791,633
29,1791,7,MMANDRADE,7,1791
89,50,7,MMANDRADE,7,50
89,50,7,MCARVALHO,53,2012
89,50,7,WBALSAMO,6230,50
89,50,7,ILIMA,53,6029
7,10,2004,REBSOUZA,633,50
7,10,2004,VASILVA,2004,10
44,1996,1996,KSANHAIA,1996,6080
44,1996,1996,MWENTZ,589,1996
89,50,7,ILIMA,53,6029
89,50,7,LJACQUES,50,53
89,50,7,SRPATRICIO,7,50
7,10,10,SRPATRICIO,1537,6027
16,50,7,LJACQUES,50,2004
23,6227,2004,LJACQUES,50,2004
23,6227,2004,VASILVA,2004,7
7,6080,7,VASMAFIOLETTI,10,2018
7,6080,7,LFUHR,10,2018
110,51,51,MSCOSTA,5895,51
89,50,7,MCARVALHO,92,2012
23,6227,2004,AHSANTOS,1537,2004
44,10,10,VAMARAL,10,7
110,51,51,TLSANTOS,5901,53
110,51,51,MTCESCONETO,633,2002
110,51,51,PVCOSTA,1006,5895
110,51,51,TRAMIRES,2002,1537
108,6230,50,LJACQUES,50,7
110,51,51,FPGCOSTA,51,7
17,2004,2004,MMANDRADE,7,50
110,51,2002,AVPEREIRA,2002,92
110,51,2002,SRPATRICIO,6027,7
110,51,2002,NELIZA,7,6027
7,10,10,VASMAFIOLETTI,10,2018
110,51,51,YCOSTA,5895,7
110,51,2002,TRECH,2002,92
110,51,2002,LEMPEREIRA,1788,5901
97,1788,51,NMGODINHO,51,2002
97,1788,51,NELIZA,6027,51
74,6230,6230,SRPATRICIO,7,50
20,50,7,PPASSOLD,50,2004
7,7,50,VAMARAL,10,7
20,7,7,JTRES,2006,50
101,7,7,MGUEDES,10,2018
89,7,7,CLCCOSTA,2012,93
29,1791,1791,VAGUIAR,1791,7
10,50,7,FLISBOA,633,50
10,50,7,DDURIEUX,2010,2004
10,50,7,SDCARDOSO,2010,2012
80,7,7,OBOING,1791,7
80,7,7,LJACQUES,50,7
7,10,10,PPASSOLD,50,10
110,51,51,GJMOZZER,5901,2002
110,51,51,GJMOZZER,633,5901
110,51,51,AVPEREIRA,2002,1537
110,51,51,NRFERNANDES,2002,51
20,50,7,LJACQUES,50,2006
89,50,7,CLCCOSTA,2012,93
94,50,7,FEMSANTOS,2004,50
94,50,7,SRPATRICIO,7,50
94,50,7,LJACQUES,50,2006
94,50,7,MIPZIMMERMANN,2006,50
110,51,51,SGA,1006,5901
89,50,7,CLCCOSTA,2012,53
89,50,7,SRPATRICIO,7,50
89,50,7,LJACQUES,50,53
10,50,7,MTCESCONETO,633,50
6,2010,2010,TCRAIMUNDO,2010,2012
7,10,10,VASMAFIOLETTI,10,2018
7,6029,7,ALIGARAUJO,6029,7
10,2004,2004,SDMARCOS,633,50
7,50,50,MMANDRADE,7,10
7,10,10,EMMFILHO,5893,2018
6,2010,2010,SDCARDOSO,2010,1537
98,7,7,SRPATRICIO,1537,1788
110,51,51,MSCOSTA,5895,7
110,51,51,DORIS,51,2002
110,51,51,RGPINHEIRO,6214,7
110,51,51,SRPATRICIO,7,51
110,51,51,FPGCOSTA,51,5895
110,51,51,MSCOSTA,5895,6214
110,51,51,MSCOSTA,5895,6220
110,51,51,HVMAZZOLA,51,5895
110,51,51,CRODRIGUES,2002,5895
110,51,51,MMANDRADE,7,5895
110,51,51,FREGIS,6220,5895
110,51,51,SRIGOTTI,5895,6220
17,2006,2006,JTRES,2006,50
20,50,7,NELIZA,7,50
44,10,10,AHSANTOS,1537,10
17,2006,2006,VASILVA,2004,2006
7,10,10,LMSANTOS,10,2012
44,1996,1996,MWENTZ,1996,6080
10,50,7,LJACQUES,2010,50
10,50,7,VASILVA,50,2004
89,7,7,ILIMA,7,53
7,10,10,ISRICARTE,2012,50
7,10,10,LJACQUES,50,10
89,50,7,APPEREIRA,6029,7
110,51,51,NELIZA,1537,6027
110,51,51,SDMARCOS,633,1537
110,51,51,ACFREITAS,5901,51
110,51,51,ACFREITAS,5901,51
110,51,51,AHSANTOS,6027,1537
110,51,51,JSOUZA,1537,51
110,51,51,ACFREITAS,5901,1006
110,51,51,SRPATRICIO,7,51
110,51,51,GERSON,51,5901
110,51,51,AHSANTOS,1537,51
110,51,51,DORIS,51,7
23,6227,2004,LJACQUES,50,1537
23,6227,2004,AHSANTOS,1537,50
97,6216,51,NELIZA,1,7
97,6216,51,ACERVI,2002,51
97,6216,51,NELIZA,7,51
97,6216,51,MMANDRADE,6027,51
97,6216,51,LCLAGO,2002,51
39,1539,7,JSOUZA,7,1539
80,6080,6080,MAZEVEDO,6080,2
3,7,7,PPASSOLD,50,2004
3,7,7,LJACQUES,50,2004
3,7,7,WBALSAMO,6230,50
3,7,7,VASILVA,2004,7
3,7,7,LJACQUES,50,2004
110,51,51,MTCESCONETO,633,5901
110,51,51,ACFREITAS,5901,92
80,7,7,NELIZA,1,2002
80,7,7,JSOUZA,7,6080
80,7,7,NELIZA,1,7
80,1,7,LAVILLA,1,7
6,2010,2010,CLCCOSTA,2012,2010
29,7,7,VAGUIAR,1791,633
71,2004,2004,LJACQUES,50,7
44,10,10,LFUHR,10,2018
91,1,7,NELIZA,6027,7
91,1,7,NELIZA,7,2002
91,6227,2002,SFPEREIRA,51,1537
80,6080,6080,MMANDRADE,7,6080
97,1996,1996,MCARVALHO,92,1996
97,1996,1996,MROSA,53,92
101,10,50,PMFINARDI,5893,10
78,1539,7,JSOUZA,1539,7
97,1788,51,CRODRIGUES,2002,5901
97,1788,51,SRPATRICIO,1537,6027
97,1788,51,CRODRIGUES,2002,1537
97,1788,51,CRODRIGUES,2002,92
97,1788,51,NELIZA,1537,6027
10,50,7,VASILVA,2004,50
10,50,7,AACASTRO,2004,2012
